,Shirt NumberShirt,Player NamePlayer,TeamTeam,SuccessfulSuccessful,ErrorsSE,AttemptsAttempts,Average per matchaverage-per-match,Success %Success %,TotalTA
80,17,Clevenot Trevor,FRA,0,0,13,0.0,0.0,13
81,18,Rossard Thibault,FRA,0,0,7,0.0,0.0,7
82,19,Louati Yacine,FRA,0,1,5,0.0,0.0,6
83,20,Diez Benjamin,FRA,0,0,12,0.0,0.0,12
84,24,Gueye Mousse,FRA,0,0,0,,,0
85,1,Karyagin Denis,BUL,0,2,10,0.0,0.0,12
86,2,Chavdarov Stefan,BUL,0,0,1,0.0,0.0,1
87,3,Kolev Nikolay,BUL,0,0,13,0.0,0.0,13
88,4,Atanasov Martin,BUL,0,0,7,0.0,0.0,7
89,12,Petrov Georgi,BUL,0,0,4,0.0,0.0,4
90,14,Asparuhov Asparuh,BUL,0,0,22,0.0,0.0,22
91,16,Ivanov Vladislav,BUL,0,0,66,0.0,0.0,66
92,19,Sokolov Tsvetan,BUL,0,0,1,0.0,0.0,1
93,22,Kartev Nikolay,BUL,0,0,4,0.0,0.0,4
94,24,Ivanov Martin,BUL,0,0,6,0.0,0.0,6
95,25,Parapunov Radoslav,BUL,0,0,6,0.0,0.0,6
96,1,Fromm Christian,GER,0,1,14,0.0,0.0,15
97,3,Schott Ruben,GER,0,3,41,0.0,0.0,44
98,6,Kaliberda Denys,GER,0,0,14,0.0,0.0,14
99,8,Böhme Marcus,GER,0,0,0,,,0
100,13,Hirsch Simon,GER,0,0,11,0.0,0.0,11
101,15,Baxpöhler Noah,GER,0,1,0,0.0,0.0,1
102,18,Krage Florian,GER,0,0,2,0.0,0.0,2
103,20,Weber Linus,GER,0,0,5,0.0,0.0,5
104,21,Krick Tobias,GER,0,1,2,0.0,0.0,3
105,1,Graham Beau,AUS,0,2,12,0.0,0.0,14
106,7,Weir James,AUS,0,0,5,0.0,0.0,5
107,8,O'Dea Trent,AUS,0,0,14,0.0,0.0,14
108,11,Perry Luke,AUS,0,0,134,0.0,0.0,134
109,28,Taylor Tim,AUS,0,0,3,0.0,0.0,3
110,29,Garrett Ethan,AUS,0,1,9,0.0,0.0,10
111,31,Aubrey Matthew,AUS,0,0,0,,,0
112,33,Flowerday Sam,AUS,0,0,0,,,0
113,34,Greber Billy,AUS,0,0,0,,,0
114,2,Onodera Taishi,JPN,0,0,3,0.0,0.0,3
115,5,Fukuzawa Tatsuya,JPN,0,0,5,0.0,0.0,5
116,6,Yamauchi Akihiro,JPN,0,1,10,0.0,0.0,11
117,15,Ri Haku,JPN,0,0,2,0.0,0.0,2
118,16,Takahashi Kentaro,JPN,0,0,3,0.0,0.0,3
119,17,Takanashi Kenta,JPN,0,0,16,0.0,0.0,16
120,19,Otsuka Tatsunori,JPN,0,0,10,0.0,0.0,10
121,20,Yamamoto Tomohiro,JPN,0,0,34,0.0,0.0,34
122,24,Ogawa Tomohiro,JPN,0,0,21,0.0,0.0,21
123,2,Ebadipour Ghara H. Milad,IRI,0,0,29,0.0,0.0,29
124,3,Abedini Reza,IRI,0,0,3,0.0,0.0,3
125,6,Mousavi Eraghi Seyed Mohammad,IRI,0,1,17,0.0,0.0,18
126,8,Hazratpourtalatappeh Mohammadreza,IRI,0,0,28,0.0,0.0,28
127,11,Kazemi Saber,IRI,0,0,10,0.0,0.0,10
128,15,Mojarad Aliasghar,IRI,0,0,4,0.0,0.0,4
129,16,Shafiei Ali,IRI,0,0,0,,,0
130,17,Salehi Meisam,IRI,0,1,12,0.0,0.0,13
131,21,Salehi Arman,IRI,0,1,57,0.0,0.0,58
132,22,Esfandiar Amirhossein,IRI,0,1,3,0.0,0.0,4
133,2,Kovacevic Uros,SRB,0,0,26,0.0,0.0,26
134,3,Kapur Milorad,SRB,0,0,7,0.0,0.0,7
135,6,Pekovic Nikola,SRB,0,1,64,0.0,0.0,65
136,7,Krsmanovic Petar,SRB,0,1,23,0.0,0.0,24
137,12,Peric Pavle,SRB,0,0,4,0.0,0.0,4
138,13,Simic Stevan,SRB,0,0,1,0.0,0.0,1
139,14,Atanasijevic Aleksandar,SRB,0,0,16,0.0,0.0,16
140,16,Luburic Drazen,SRB,0,0,13,0.0,0.0,13
141,18,Podrascanin Marko,SRB,0,0,20,0.0,0.0,20
142,20,Lisinac Srecko,SRB,0,0,1,0.0,0.0,1
143,26,Kovac Davide,SRB,0,0,3,0.0,0.0,3
144,1,Štern Tonček,SLO,0,0,20,0.0,0.0,20
145,2,Pajenk Alen,SLO,0,0,13,0.0,0.0,13
146,6,Gasparini Mitja,SLO,0,0,3,0.0,0.0,3
147,10,Štalekar Sašo,SLO,0,1,1,0.0,0.0,2
148,11,Štern Žiga,SLO,0,0,10,0.0,0.0,10
149,18,Čebulj Klemen,SLO,0,1,48,0.0,0.0,49
150,19,Možič Rok,SLO,0,1,10,0.0,0.0,11
151,4,Ter Horst Thijs,NED,0,0,13,0.0,0.0,13
152,5,van der Ent Luuc,NED,0,0,2,0.0,0.0,2
153,6,Dronkers Just,NED,0,0,55,0.0,0.0,55
154,7,Jorna Gijs,NED,0,0,0,,,0
155,10,van Zeist Maikel,NED,0,0,1,0.0,0.0,1
156,12,Tuinstra Bennie Junior,NED,0,2,27,0.0,0.0,29
157,13,Ottevanger Steven,NED,0,0,17,0.0,0.0,17
158,14,Abdel-Aziz Nimir,NED,0,1,13,0.0,0.0,14
159,17,Parkinson Michael,NED,0,0,1,0.0,0.0,1
160,21,van Schie Stijn,NED,0,0,0,,,0
161,22,Wiltenburg Twan,NED,0,0,4,0.0,0.0,4
162,25,van Tilburg Stijn,NED,0,0,8,0.0,0.0,8
163,1,Podlesnykh Yaroslav,RUS,0,0,11,0.0,0.0,11
164,2,Vlasov Ilia,RUS,0,0,3,0.0,0.0,3
165,4,Volvich Artem,RUS,0,1,5,0.0,0.0,6
166,5,Semyshev Anton,RUS,0,0,1,0.0,0.0,1
